date,value,giatritrungbinh,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2016-01-01,54.67,,,,,,,,,,
2016-01-02,33.79,,,,,,,,,,
2016-01-03,40.98,,,,,,,,,,
2016-01-04,35.69,,,,,,,,,,
2016-01-05,30.33,,,,,,,,,,
2016-01-06,33.05,,,,,,,,,,
2016-01-07,31.02,,,,,,,,,,
2016-01-08,29.27,,,,,,,,,,
2016-01-09,24.23,,,,,,,,,,
2016-01-10,34.42,,,,,,,,,,
2016-01-11,26.95,,,,,,,,,,
2016-01-12,27.7,,,,,,,,,,
2016-01-13,22.88,,,,,,,,,,
2016-01-14,28.91,,,,,,,,,,
2016-01-15,38.84,,,,,,,,,,
2016-01-16,24.63,,,,,,,,,,
2016-01-17,31.15,,,,,,,,,,
2016-01-18,29.02,,,,,,,,,,
2016-01-19,20.96,,,,,,,,,,
2016-01-20,20.48,,,,,,,,,,
2016-01-21,20.08,,,,,,,,,,
2016-01-22,23.78,,,,,,,,,,
2016-01-23,38.88,,,,,,,,,,
2016-01-24,40.51,,,,,,,,,,
2016-01-25,25.35,,,,,,,,,,
2016-01-26,78.96,,,,,,,,,,
2016-01-27,94.17,,,,,,,,,,
2016-01-28,68.36,,,,,,,,,,
2016-01-29,49.37,,,,,,,,,,
2016-01-30,40.87,,,,,,,,,,
2016-01-31,41.52,,,,,,,,,,
2016-02-01,32.45,,,,,,,,,,
2016-02-02,32.72,,,,,,,,,,
2016-02-03,23.28,,,,,,,,,,
2016-02-04,29.09,,,,,,,,,,
2016-02-05,33.53,,,,,,,,,,
2016-02-06,34.07,,,,,,,,,,
2016-02-07,36.33,,,,,,,,,,
2016-02-08,23.23,,,,,,,,,,
2016-02-09,25.18,,,,,,,,,,
2016-02-10,34.51,,,,,,,,,,
2016-02-11,30.88,,,,,,,,,,
2016-02-12,17.84,,,,,,,,,,
2016-02-13,27.61,,,,,,,,,,
2016-02-14,20.48,,,,,,,,,,
2016-02-15,22.61,,,,,,,,,,
2016-02-16,31.19,,,,,,,,,,
2016-02-17,18.63,,,,,,,,,,
2016-02-18,31.85,,,,,,,,,,
2016-02-19,31.53,,,,,,,,,,
2016-02-20,24.77,,,,,,,,,,
2016-02-21,33.42,,,,,,,,,,
2016-02-22,27.08,,,,,,,,,,
2016-02-23,25.46,,,,,,,,,,
2016-02-24,32.35,,,,,,,,,,
2016-02-25,55.51,,,,,,,,,,
2016-02-26,30.15,,,,,,,,,,
2016-02-27,36.22,,,,,,,,,,
2016-02-28,27.47,,,,,,,,,,
2016-02-29,45.29,,,,,,,,,,
2016-03-01,15.78,,,,,,,,,,
2016-03-02,15.83,,,,,,,,,,
2016-03-03,25.9,,,,,,,,,,
2016-03-04,21.62,,,,,,,,,,
2016-03-05,22.2,,,,,,,,,,
2016-03-06,32.09,,,,,,,,,,
2016-03-07,26.18,,,,,,,,,,
2016-03-08,25.68,,,,,,,,,,
2016-03-09,21.04,,,,,,,,,,
2016-03-10,14.63,,,,,,,,,,
2016-03-11,15.63,,,,,,,,,,
2016-03-12,15.37,,,,,,,,,,
2016-03-13,12.63,,,,,,,,,,
2016-03-14,12.56,,,,,,,,,,
2016-03-15,13.77,,,,,,,,,,
2016-03-16,15.36,,,,,,,,,,
2016-03-17,12.82,,,,,,,,,,
2016-03-18,22.4,,,,,,,,,,
2016-03-19,21.65,,,,,,,,,,
2016-03-20,14.6,,,,,,,,,,
2016-03-21,11.3,,,,,,,,,,
2016-03-22,13.7,,,,,,,,,,
2016-03-23,12.8,,,,,,,,,,
