date,value
4/1/2016,113
4/2/2016,226
4/3/2016,279
4/4/2016,135
4/5/2016,116
4/6/2016,191
4/7/2016,228
4/8/2016,278
4/9/2016,156
4/10/2016,235
4/11/2016,282
4/12/2016,245
4/13/2016,236
4/14/2016,237
4/15/2016,241
4/16/2016,245
4/17/2016,199
4/18/2016,190
4/19/2016,209
4/20/2016,209
4/21/2016,262
4/22/2016,153
4/23/2016,183
4/24/2016,175
4/25/2016,186
4/26/2016,159
4/27/2016,149
4/28/2016,124
4/29/2016,124
4/30/2016,117
5/1/2016,88
5/2/2016,108
5/3/2016,171
5/4/2016,233
5/5/2016,298
5/6/2016,268
5/7/2016,326
5/8/2016,231
5/9/2016,272
5/10/2016,353
5/11/2016,222
5/12/2016,208
5/13/2016,111
5/14/2016,388
5/15/2016,249
5/16/2016,265
5/17/2016,244
5/18/2016,128.75
5/19/2016,131
5/20/2016,156
5/21/2016,230
5/22/2016,165
5/23/2016,280
5/24/2016,337
5/25/2016,477
5/26/2016,446
5/27/2016,405
5/28/2016,307
5/29/2016,309
5/30/2016,458.6
5/31/2016,584
6/1/2016,517.58
6/2/2016,483
6/3/2016,543
6/4/2016,596
6/5/2016,768
6/6/2016,884
6/7/2016,865
6/8/2016,766
6/9/2016,815
6/10/2016,616
6/11/2016,715
6/12/2016,787
6/13/2016,715
6/14/2016,979
6/15/2016,613
6/16/2016,523
6/17/2016,668
6/18/2016,964
6/19/2016,1074
6/20/2016,1021
6/21/2016,992
6/22/2016,679
6/23/2016,1112
6/24/2016,905
6/25/2016,1598
6/26/2016,887
6/27/2016,837
6/28/2016,834.08
6/29/2016,1044
6/30/2016,912
7/1/2016,1273
7/2/2016,1360
7/3/2016,1842
7/4/2016,1755
7/5/2016,1050
7/6/2016,1029
7/7/2016,1928
7/8/2016,1190
7/9/2016,1058
7/10/2016,1073
7/11/2016,843
7/12/2016,1125.17
7/13/2016,1185
7/14/2016,1475.5
7/15/2016,1729.17
7/16/2016,2152.17
7/17/2016,2152.17
7/18/2016,1810
7/19/2016,1406.25
7/20/2016,1221
7/21/2016,1812.67
7/22/2016,1833.33
7/23/2016,1441.75
7/24/2016,1298.5
7/25/2016,1366.08
7/26/2016,1215.17
7/27/2016,1135.42
7/28/2016,1232.33
7/29/2016,910.33
7/30/2016,1065.08
7/31/2016,1065.08
8/1/2016,1219.5
8/2/2016,957.17
8/3/2016,909.83
8/4/2016,1277.42
8/5/2016,1634
8/6/2016,1388.33
8/7/2016,1272.25
8/8/2016,1668.5
8/9/2016,1668.5
8/10/2016,1717.75
8/11/2016,2305.67
8/12/2016,2502.08
8/13/2016,2119.5
8/14/2016,1725.33
8/15/2016,1533.25
8/16/2016,1633.42
8/17/2016,1343.08
8/18/2016,1218.25
8/19/2016,1259.67
8/20/2016,1352.08
8/21/2016,1588.42
8/22/2016,1519.92
8/23/2016,1409.83
8/24/2016,1235
8/25/2016,1133
8/26/2016,1073.5
8/27/2016,1026.58
8/28/2016,1018
8/29/2016,1035.25
8/30/2016,933.08
8/31/2016,914.67
9/1/2016,954.83
9/2/2016,1403.92
9/3/2016,2226.25
9/4/2016,1879
9/5/2016,2072.67
9/6/2016,1764.92
9/7/2016,1788.58
9/8/2016,1784.92
9/9/2016,1466.75
9/10/2016,1441.33
9/11/2016,2056.33
9/12/2016,1531.5
9/13/2016,1281
9/14/2016,1281
9/15/2016,1084.67
9/16/2016,1228.92
9/17/2016,1704.25
9/18/2016,1704.25
9/19/2016,1468
9/20/2016,1168
9/21/2016,1589.33
