date,value
1/1/1980,80.8
1/2/1980,79.3
1/3/1980,77.9
1/4/1980,76.4
1/5/1980,75
1/6/1980,75
1/7/1980,75
1/8/1980,77.9
1/9/1980,80.8
1/10/1980,77.9
1/11/1980,76.4
1/12/1980,76.4
1/13/1980,75
1/14/1980,72.2
1/15/1980,70.8
1/16/1980,70.8
1/17/1980,69.4
1/18/1980,70.8
1/19/1980,72.2
1/20/1980,72.2
1/21/1980,70.8
1/22/1980,69.4
1/23/1980,68
1/24/1980,68
1/25/1980,66.7
1/26/1980,66.7
1/27/1980,64.2
1/28/1980,62.9
1/29/1980,61.6
1/30/1980,61.6
1/31/1980,60.3
2/1/1980,60.3
2/2/1980,61.6
2/3/1980,61.6
2/4/1980,61.6
2/5/1980,60.3
2/6/1980,59.1
2/7/1980,59.1
2/8/1980,59.1
2/9/1980,60.3
2/10/1980,60.3
2/11/1980,61.6
2/12/1980,64.2
2/13/1980,61.6
2/14/1980,64.2
2/15/1980,62.9
2/16/1980,66.7
2/17/1980,72.2
2/18/1980,89.9
2/19/1980,91.5
2/20/1980,79.3
2/21/1980,69.4
2/22/1980,66.7
2/23/1980,65.4
2/24/1980,61.6
2/25/1980,62.9
2/26/1980,60.3
2/27/1980,56.6
2/28/1980,55.3
2/29/1980,54.1
3/1/1980,52.9
3/2/1980,51.7
3/3/1980,51.7
3/4/1980,49.3
3/5/1980,48.1
3/6/1980,48.1
3/7/1980,48.1
3/8/1980,46.9
3/9/1980,45.8
3/10/1980,44.6
3/11/1980,44.6
3/12/1980,44.6
3/13/1980,44.6
3/14/1980,44.6
3/15/1980,46.9
3/16/1980,51.7
3/17/1980,51.7
3/18/1980,66.7
3/19/1980,51.7
3/20/1980,46.9
3/21/1980,44.6
3/22/1980,44.6
3/23/1980,43.4
3/24/1980,83.7
3/25/1980,73.6
3/26/1980,55.3
3/27/1980,59.1
3/28/1980,59.1
3/29/1980,51.7
3/30/1980,49.3
3/31/1980,44.6
4/1/1980,60.3
4/2/1980,55.3
4/3/1980,56.6
4/4/1980,51.7
4/5/1980,64.2
4/6/1980,54.1
4/7/1980,69.4
4/8/1980,57.8
4/9/1980,49.3
4/10/1980,44.6
4/11/1980,45.8
4/12/1980,42.2
4/13/1980,42.2
4/14/1980,39.9
4/15/1980,39.9
4/16/1980,38.8
4/17/1980,39.9
4/18/1980,38.8
4/19/1980,59.1
4/20/1980,49.3
4/21/1980,42.2
4/22/1980,39.9
4/23/1980,37.6
4/24/1980,36.4
4/25/1980,36.4
4/26/1980,37.6
4/27/1980,37.6
4/28/1980,36.4
4/29/1980,36.4
4/30/1980,36.4
5/1/1980,35.3
5/2/1980,33.1
5/3/1980,31
5/4/1980,31
5/5/1980,60.3
5/6/1980,55.3
5/7/1980,76.4
5/8/1980,64.2
5/9/1980,66.7
5/10/1980,56.6
5/11/1980,101
5/12/1980,68
5/13/1980,51.7
5/14/1980,44.6
5/15/1980,39.9
5/16/1980,38.8
5/17/1980,44.6
5/18/1980,104
5/19/1980,110
5/20/1980,115
5/21/1980,72.2
5/22/1980,59.1
5/23/1980,54.1
5/24/1980,72.2
5/25/1980,113
5/26/1980,156
5/27/1980,160
5/28/1980,101
5/29/1980,76.4
5/30/1980,66.7
5/31/1980,61.6
6/1/1980,56.6
6/2/1980,60.3
6/3/1980,56.6
6/4/1980,54.1
6/5/1980,51.7
6/6/1980,62.9
6/7/1980,72.2
6/8/1980,62.9
6/9/1980,64.2
6/10/1980,97.7
6/11/1980,73.6
6/12/1980,66.7
6/13/1980,88.4
6/14/1980,122
6/15/1980,134
6/16/1980,236
6/17/1980,240
6/18/1980,173
6/19/1980,150
6/20/1980,134
6/21/1980,110
6/22/1980,93
6/23/1980,83.7
6/24/1980,77.9
6/25/1980,73.6
6/26/1980,101
6/27/1980,113
6/28/1980,99.4
6/29/1980,104
6/30/1980,280
7/1/1980,267
7/2/1980,219
7/3/1980,206
7/4/1980,172
7/5/1980,247
7/6/1980,238
7/7/1980,247
7/8/1980,236
7/9/1980,219
7/10/1980,187
7/11/1980,210
7/12/1980,341
7/13/1980,728
7/14/1980,461
7/15/1980,523
7/16/1980,682
7/17/1980,624
7/18/1980,563
7/19/1980,527
7/20/1980,491
7/21/1980,451
